anyo,consejeria,medio,tipo,importe
2018,Familia e Igualdad de Oportunidades,El Mundo de CyL,Prensa,98406.88
2015,Cultura y Turismo,Radio Arlanzón,Radio,30000
2018,Familia e Igualdad de Oportunidades,El País,Prensa,4904.96
2015,Cultura y Turismo,Revista Artez,Otros Medios,600
2018,Familia e Igualdad de Oportunidades,Grañeda,Otros Medios,17745.96
2015,Cultura y Turismo,Revista Ávila 360,Otros Medios,2185
2018,Familia e Igualdad de Oportunidades,ICAL,Agencia,106500
2015,Cultura y Turismo,Revista On,Otros Medios,3132.63
2018,Familia e Igualdad de Oportunidades,Iglesias Comunicación,Otros Medios,17928.52
2015,Cultura y Turismo,Rumbo.Es,Otros Medios,6500
2018,Familia e Igualdad de Oportunidades,Metáfora de Comunicación SL,Otros Medios,6872.8
2015,Cultura y Turismo,Turismo,Otros Medios,65000
2018,Familia e Igualdad de Oportunidades,Onda Cero,Radio,51798.85
2015,Cultura y Turismo,Vive León,Otros Medios,400
2018,Familia e Igualdad de Oportunidades,SER,Radio,52999.81
2015,Cultura y Turismo,Vocento Destino,Prensa,6709
2018,Fomento y Medio Ambiente,Diario de Ávila,Prensa,25234.98
2015,Cultura y Turismo,W3Art,Otros Medios,806.94
2018,Fomento y Medio Ambiente,El Adelantado de Segovia,Prensa,14249.99
2015,Economía y Hacienda,ABC,Prensa,60529.74
2018,Fomento y Medio Ambiente,ICAL,Agencia,140000
2015,Economía y Hacienda,Adelantado de Segovia,Prensa,30115.13
2018,Fomento y Medio Ambiente,La Gaceta de Salamanca,Prensa,30000
2015,Economía y Hacienda,Castilla y León ES Radio,Radio,30099
2018,Fomento y Medio Ambiente,La Nueva Crónica de León,Prensa,28987.84
2015,Economía y Hacienda,Diario Palentino,Prensa,45591.82
2018,Fomento y Medio Ambiente,La Opinión Correo Zamora,Prensa,13563.59
2015,Economía y Hacienda,Diario Soria / El Heraldo,Prensa,49294.61
2018,Fomento y Medio Ambiente,Onda Cero,Radio,50502.69
2015,Economía y Hacienda,EFE,Agencia,61999.98
2018,Fomento y Medio Ambiente,Sector Ejecutivo,Otros Medios,5000
2015,Economía y Hacienda,El Día de Soria,Prensa,1681.9
2018,Fomento y Medio Ambiente,SER,Radio,63149.34
2015,Economía y Hacienda,El Mundo de CyL,Prensa,177412.96
2018,Fomento y Medio Ambiente,Turismo,Otros Medios,4999.98
2015,Economía y Hacienda,El Norte de Castilla,Prensa,313476.17
